Time,mAmpere,mAmpereInt,Analog_A0,ValueA0Virtual,mAmpere3Raw,mAmpere4
2023-01-22 17:42:13,,0.0,,538.0,,
2023-01-22 17:42:12,,0.0,,540.0,,
2023-01-22 17:42:10,,0.0,,540.0,,
2023-01-22 17:42:09,,0.0,,540.0,,
2023-01-22 17:42:07,,0.0,,540.0,,
2023-01-22 17:42:06,,0.0,,540.0,,
2023-01-22 17:42:05,,,,540.0,,
2023-01-22 17:42:04,,0.0,,,,
2023-01-22 17:42:03,,0.0,,538.0,,
2023-01-22 17:42:02,,0.0,,540.0,,
2023-01-22 17:42:00,,0.0,,540.0,,
2023-01-22 17:41:59,,0.0,,538.0,,
2023-01-22 17:41:58,,0.0,,540.0,,
2023-01-22 17:41:56,,0.0,,540.0,,
2023-01-22 17:41:55,,0.0,,540.0,,
2023-01-22 17:41:53,,0.0,,538.0,,
2023-01-22 17:41:52,,0.0,,538.0,,
2023-01-22 17:41:50,,0.0,,538.0,,
2023-01-22 17:41:49,,0.0,,538.0,,
2023-01-22 17:41:47,,0.0,,540.0,,
2023-01-22 17:41:46,,0.0,,538.0,,
2023-01-22 17:41:45,,0.0,,538.0,,
2023-01-22 17:41:43,,0.0,,540.0,,
2023-01-22 17:41:42,,0.0,,540.0,,
2023-01-22 17:41:41,,,,538.0,,
2023-01-22 17:41:40,,0.0,,,,
2023-01-22 17:41:39,,0.0,,540.0,,
2023-01-22 17:41:38,,0.0,,540.0,,
2023-01-22 17:41:37,,0.0,,540.0,,
2023-01-22 17:41:35,,0.0,,540.0,,
2023-01-22 17:41:34,,0.0,,538.0,,
2023-01-22 17:41:32,,0.0,,538.0,,
2023-01-22 17:41:31,,0.0,,540.0,,
2023-01-22 17:41:30,,,,540.0,,
2023-01-22 17:41:29,,0.0,,,,
2023-01-22 17:41:28,,0.0,,540.0,,
2023-01-22 17:41:27,,0.0,,540.0,,
2023-01-22 17:41:25,,0.0,,540.0,,
2023-01-22 17:41:24,,0.0,,538.0,,
2023-01-22 17:41:22,,0.0,,541.0,,
2023-01-22 17:41:21,,0.0,,540.0,,
2023-01-22 17:41:20,,0.0,,540.0,,
2023-01-22 17:41:18,,0.0,,538.0,,
2023-01-22 17:41:17,,0.0,,538.0,,
2023-01-22 17:41:15,,0.0,,540.0,,
2023-01-22 17:41:14,,0.0,,540.0,,
2023-01-22 17:41:12,,0.0,,541.0,,
2023-01-22 17:41:11,,0.0,,540.0,,
2023-01-22 17:41:09,,0.0,,540.0,,
2023-01-22 17:41:08,,0.0,,540.0,,
2023-01-22 17:41:06,,0.0,,540.0,,
2023-01-22 17:41:05,,0.0,,540.0,,
2023-01-22 17:41:03,,0.0,,538.0,,
2023-01-22 17:41:02,,0.0,,540.0,,
2023-01-22 17:41:01,,0.0,,540.0,,
2023-01-22 17:40:59,,0.0,,538.0,,
2023-01-22 17:40:58,,0.0,,538.0,,
2023-01-22 17:40:56,,0.0,,540.0,,
2023-01-22 17:40:55,,0.0,,538.0,,
2023-01-22 17:40:53,,0.0,,538.0,,
2023-01-22 17:40:52,,0.0,,540.0,,
2023-01-22 17:40:50,,0.0,,540.0,,
2023-01-22 17:40:49,,0.0,,538.0,,
2023-01-22 17:40:47,,0.0,,540.0,,
2023-01-22 17:40:46,,0.0,,540.0,,
2023-01-22 17:40:44,,0.0,,538.0,,
2023-01-22 17:40:43,,0.0,,540.0,,
2023-01-22 17:40:42,,0.0,,540.0,,
2023-01-22 17:40:40,,0.0,,540.0,,
2023-01-22 17:40:39,,0.0,,540.0,,
2023-01-22 17:40:37,,0.0,,540.0,,
2023-01-22 17:40:36,,0.0,,538.0,,
2023-01-22 17:40:34,,0.0,,538.0,,
2023-01-22 17:40:33,,0.0,,540.0,,
2023-01-22 17:40:32,,0.0,,538.0,,
2023-01-22 17:40:31,,0.0,,540.0,,
2023-01-22 17:40:29,,0.0,,540.0,,
2023-01-22 17:40:28,,0.0,,540.0,,
2023-01-22 17:40:26,,0.0,,540.0,,
2023-01-22 17:40:25,,0.0,,540.0,,
2023-01-22 17:40:23,,0.0,,540.0,,
2023-01-22 17:40:22,,0.0,,540.0,,
2023-01-22 17:40:21,,,,538.0,,
2023-01-22 17:40:20,,0.0,,,,
2023-01-22 17:40:19,,0.0,,540.0,,
2023-01-22 17:40:17,,0.0,,538.0,,
2023-01-22 17:40:16,,0.0,,540.0,,
2023-01-22 17:40:15,,0.0,,540.0,,
2023-01-22 17:40:13,,0.0,,540.0,,
2023-01-22 17:40:12,,0.0,,538.0,,
2023-01-22 17:40:10,,0.0,,540.0,,
